"title","year","actors","directors","country","language","description"
"FairyTale: A True Story",1997,"Florence Hoath Elizabeth Earl Paul Mc Gann Phoebe Nicholls Harvey Keitel Peter O'Toole","Charles Sturridge","United States","English","Early 20th-century Europe was a time and a place rife with conflicting forces, from the battlefields of World War I to the peaceful countryside of rural England. Scientific advances such as electric light and photography appeared magical to some; spiritualism was championed by Sir Arthur Conan Doyle while his friend Harry Houdini decried false mediums who prey upon grieving families. J.M. Barrie's Peter Pan charmed theatergoers of all ages. Young Frances Griffiths, whose father is missing in action, arrives by train to stay with her cousin Elsie Wright in rural Yorkshire."
"Free Willy 3: The Rescue",1997,"Jason James Richter August Schellenberg Annie Corley Vincent Berry Patrick Kilpatrick","Sam Pillsbury","United States","English","Jesse is sixteen years old and works as an orca-researcher on a research ship called the Noah alongside his old friend Randolph and moved away from Glen and Annie who were promised by Randolph to keep Jesse out of trouble. They suspect that Willy and his pod are being illegally hunted by whalers posing as commercial fishermen. Aboard just such a ship, the Botany Bay, Max Wesley, who is ten years old, takes his first trip to sea with his father, John, a whaler from a long line of whalers, and learns the true unlawful nature of the family business. During his first hunt, Max is thrown overboard and comes face to face with Willy. From this point on, Max is working against his own father, teaming with Jesse and Randolph to save Willy from becoming $200-per-pound sushi. Jesse introduces Max to Willy properly after learning of Max's experience and how Max likes whales. Jesse goes to his and Randolph's head boss about the threat to the whales, but he refuses to take action until Jesse manages to get proof with help from Max."
"George of the Jungle",1997,"Brendan Fraser John Cleese Leslie Mann Thomas Haden Church Holland Taylor Richard Roundtree","Sam Weisman","United States","English","In an animated sequence, a plane flying through the fictional Bukuvu region in the heart of Africa crashes. A child on board the plane disappears into the jungle, eventually growing up to be George."
"Good Burger",1997,"Kenan Thompson Kel Mitchell Abe Vigoda","Brian Robbins","United States","English","On the first day of summer, slacker high school student Dexter Reed (Kenan Thompson), takes his mother's car on a joyride while she is on a business trip and accidentally crashes into and damages the car of his teacher, Mr. Wheat (Sinbad). Dexter is in danger of going to jail, as he does not have a driver's license or insurance. But Mr. Wheat agrees to let Dexter pay for the damages to both cars in exchange for not calling the police on Dexter. With the damages estimated at $1,900, Dexter is forced to get a summer job. After being dismissed from the new, soon-to-open Mondo Burger for clashing with and insulting the owner/manager, Kurt Bozwell (Jan Schweiterman), he ends up finding employment at Good Burger where he meets and reluctantly befriends dimwitted Ed (Kel Mitchell) and a host of other colorful employees. Initially, neither of them are aware that it was Ed who inadvertently caused Dexter's car accident; Ed had been on his way to make a delivery, and skated in front of Dexter, causing him to swerve out of control and crash into Mr. Wheat."
"Hercules",1997,"Tate Donovan Danny De Vito James Woods Susan Egan Rip Torn","John Musker Ron Clements","United States","English","After imprisoning the Titans beneath the ocean, the Greek gods Zeus and his wife, Hera, have a son named Hercules. While the other gods are joyful, Zeus' jealous brother Hades plots to overthrow Zeus and rule Mount Olympus. Turning to the Fates for help, Hades learns that in eighteen years, a planetary alignment will allow him to locate and free the Titans to conquer Olympus, but only if Hercules does not interfere. Hades sends his minions Pain and Panic to dispose of Hercules. The two succeed at kidnapping the infant and feeding him a formula that turns him mortal, but fail to remove his superhuman strength before Hercules is found and adopted by the farmers Amphitryon and Alcmene."
"Home Alone 3",1997,"Alex D. Linz Haviland Morris","Raja Gosnell","United States","English","Peter Beaupre, Alice Ribbons, Burton Jernigan, and Earl Unger are four internationally wanted hitmen working for a North Korean terrorist organization who have stolen a $10 million missile-cloaking computer chip. The thieves put it inside a remote control car to sneak it past security at San Francisco International Airport. However, a luggage mix-up occurs, causing a woman named Mrs. Hess to inadvertently take the thieves' bag containing the remote control car while she is returning home to Chicago. The four thieves arrive in Chicago and later systematically search every house in Mrs. Hess' suburban neighborhood to find the chip."
"Honey, We Shrunk Ourselves",1997,"Rick Moranis Eve Gordon Bug Hall Robin Bartlett Stuart Pankin Allison Mack Jake Richardson","Dean Cundey","United States","English","Eight years after the events of the previous film, Adam Szalinski, now a preteen, just wants to be a normal boy and go to baseball camp, but his interest in sports seems almost alien to his parents Wayne and Diane, as Amy and Nick, who are currently living away from home, were both a thespian and genius respectively. Wayne has also started his own lab ""Szalinski Labs"" with his brother Gordon, and the two receive tickets to witness a shuttle landing, but Diane interrupts Wayne's message, reminding him that he needs to watch Adam and his cousins, Jenny and Mitch, while she and Gordon's wife Patty go on vacation. She also reminds him to get rid of Tiki Man that she sees as an eyesore, though Wayne considers it his good luck charm (not to mention something that could earn him a fortune one day)."
"The Land Before Time V:
The Mysterious Island",1997,"Brandon La Croix Anndi Mc Afee Aria Curzon Jeff Bennett Rob Paulsen Cannon Young Kenneth Mars Miriam Flynn John Ingle Tress Mac Neille Christina Pickles","Charles Grosvenor","United States","English","After a swarm of ""leaf-gobblers"" devours all of the plants in the Great Valley and reduces it to a barren wasteland, the inhabitants leave to find another place where they can survive until the plants in the Great Valley have regrown. However, the leaf-gobblers have left a path of devastation behind them, leaving no food for the dinosaurs to find. After searching for many days, tension enters the group as Cera's father and Littlefoot's grandfather argue over changing their course, which starts a fight between Littlefoot and Cera. The fight soon breaks up when Cera's father declares that each herd should go its own way the next morning."
"Mouse Hunt",1997,"Nathan Lane Lee Evans Maury Chaykin Christopher Walken","Gore Verbinski","United States","English","When once wealthy string magnate Rudolf Smuntz (William Hickey) dies, he leaves his outdated string factory and a run-down mansion to his two sons, Lars (Lee Evans) and Ernie (Nathan Lane). When Lars refuses a proposal by representatives from the large Zeppco conglomerate to purchase their string factory, his wife April (Vicki Lewis) throws him out. Meanwhile, Ernie serves Mayor Mc Krinkle (Cliff Emmich) at his restaurant in anticipation of becoming a famous chef for serving such a high-profile guest. However, the mayor is poisoned by a cockroach (which came from Rudolf's old box of Cuban cigars that Ernie took for himself) and suffers two heart attacks, with the latter fatal. As a result, Ernie's restaurant is closed down by the Board of Health. The despondent brothers encounter each other and find solace in their father's mansion."
"Mr. Magoo",1997,"Leslie Nielsen Kelly Lynch Ernie Hudson Stephen Tobolowsky Nick Chinlund Malcolm Mc Dowell","Stanley Tong","United States","English","Mr. Quincy Magoo (Leslie Nielsen), a wealthy canned vegetable factory owner, goes to the museum to attend a party. While there, Waldo (Matt Keeslar), Mr. Magoo's nephew, spies a woman named Stacey Sampanahoditra (Jennifer Garner), on whom he develops a crush. Later that night, jewel thieves Luanne Le Seur (Kelly Lynch) and Bob Morgan (Nick Chinlund) steal the museum's beautiful ruby ""The Star of Kuristan"" and escape on a boat to Austin Cloquet (Malcolm Mc Dowell), Bob's boss."
"Northern Lights",1997,"Diane Keaton Maury Chaykin Joseph Cross Kathleen York John Robert Hoffman","Linda Yellen"," of origin United States",NA,"Childless widow Roberta (Diane Keaton) receives news of the death of her estranged brother. Upon arriving in her hometown for her brother's funeral, Roberta receives an unexpected inheritance, her nine-year-old nephew Jack (Joseph Cross). Savvy and curious, Jack and Roberta struggle to find common ground."
"Oliver Twist",NA,"Richard Dreyfuss Elijah Wood David O'Hara Alex Trench","Tony Bill"," of origin United States",NA,"A pregnant woman staggers to a workhouse door in the rain and Widow Corney, the owner, takes her in. A baby boy is born as the mother dies. She leaves him a locket, containing a portrait of her mother, which Corney takes. Mr. Bumble, her assistant, names the child Oliver from his rotating alphabetical list of names. Six years pass and Oliver is now working in the workhouse. When he requests to see his locket, Corney, while showing it to him, says he can have it if he’s a good boy when he’s twelve. Six years later, Oliver is forced into drawing straws at dinner for who has to ask Corney for more food. After drawing the shortest one, she throws him out of the workhouse for daring to ask her such a question-without his locket despite his pleas. He returns to steal his locket at night and heads out to London."
"Paws",1997,"Billy Connolly (voice)Nathan Cavaleri Emilie François Sandy Gore Heath Ledger","Karl Zwicky","Australia / UK","English","Alex, a computer programmer from a cold place very far away, receives a visit from an intruder named Anja but before she breaks in he writes an important message to a colleague named Susie, transfers it to a floppy disk and gives it to his dog PC, warning him that he should give it only to Susie and trust no one. He hides PC just before Anja breaks in with her vicious dog Sibelius and threatens him for money. He tells her the money is in the retirement fund, after which she kills him. But later she finds that the money is missing and sees the initials SA on the file name which she discovers, in the nearby address book, to stand for Susie Arkwright and starts spying on Susie."
"Pippi Longstocking",1997,"Melissa Altro Catherine O'Hara Gordon Pinsent Dave Thomas Wayne Robson Carole Pope","Michael Schaack Clive A. Smith","Sweden Germany Canada","English","The film begins with Pippi sailing around the world with her father, Captain Efraim Longstocking, her pet horse, Horse, her pet monkey, Mr. Nilsson, and various members of the ship's crew. One night during a hurricane, the captain is washed over board into the sea. As he drifts off, he calls to Pippi that he will ""meet her in Villa Villekulla"". To that effect, Pippi and her pet animals make their way home, Villa Villekulla, to await his return. Not long after arriving, she makes friends with the two children across the street — Tommy and Annika, who are captivated by her free spirit and fun-loving attitude. They soon convince her to go to school (for the first time in her life) where she gets into trouble, despite winning the hearts of her classmates."
"Pooh's Grand Adventure:
The Search for Christopher Robin",1997,"Jim Cummings John Fiedler Ken Sansom Paul Winchell Peter Cullen Brady Bluhm Andre Stojka","Karl Geurs","United States Japan","English","The story begins on the last day of summer. Christopher Robin is unable to tell his friend Winnie-the-Pooh some sad news, and leaves him with the advice, ""You're braver than you believe, and stronger than you seem, and smarter than you think,"" but Pooh does not clearly understand. The next morning, Pooh discovers a honey pot with an attached note—however, he cannot read it himself after getting honey all over it. He goes around to his friends Piglet, Tigger, Rabbit and Eeyore, and none of them are able to read the note, so they ask Owl for help. From misinterpreting the note and his own romantic imagination of adventure, Owl deduces that Christopher Robin has been taken to a distant, mysterious and dangerous place called ""Skull"" against his will, to a cave where the monstrous ""Skullasaurus"" resides. Owl equips the group with a map and sends them into the ""Great Unknown"" of the Hundred Acre Wood."
"RocketMan",1997,"Harland Williams Jessica Lundy William Sadler Jeffrey De Munn Beau Bridges","Stuart Gillard","United States","English","NASA is training for the first manned mission to Mars by the spacecraft Aries. Due to a supposed glitch in the computer navigation system, NASA looks for the original programmer of the software to see why the software seems to be broken. Fred Z. Randall (Harland Williams), the eccentric programmer who wrote the software, meets Paul Wick (Jeffrey De Munn), the flight director of the Mars mission; William ""Wild Bill"" Overbeck (William Sadler), the commander of the Mars mission; and astronaut Gary Hackman (Peter Onorati), the computer specialist. After a display of hard-headed stubbornness by Gary, he is hit in the head by a model of the Pilgrim 1 Mars lander, resulting in a skull fracture. NASA decides to replace him instead of delaying the mission. Fred is brought to NASA to see if he has what it takes to be an astronaut; he, along with Gordon Peacock, go through a series of exercises, which sees Fred do well, even going as far to break every record that Bill had. In the end, Fred gets the job."
"The Second Jungle Book:
Mowgli & Baloo",1997,"Billy Campbell Roddy Mc Dowall Jamie Williams David Paul Francis","Duncan Mc Lachlan","United States","English","India, 1890. Mowgli (Jamie Williams) is a 10-year-old boy has been brought up in the jungle of India by his animal friends: the wolf pack, Baloo the bear and Bagheera the panther. However, Mowgli also has enemies in the jungle: Shere Khan the vicious tiger (who killed the boy's father) and the Bandar-log (who are hated by nearly all animals of the jungle)."
"A Simple Wish",1997,"Martin Short Mara Wilson Robert Pastorelli Amanda Plummer Francis Capra Kathleen Turner","Michael Ritchie","United States","English","Oliver Greening is rejected from a coveted performance in a musical version of A Tale of Two Cities for simply not being a bankable performer. After Oliver's 8-year-old daughter Annabel attempts to get her 12-year-old brother Charlie to believe that the tooth fairy exists, Murray, a clumsy fairy godfather, appears after Charlie has gone to sleep. Annabel wants to wish for her father to get the role, but Murray suddenly remembers he is late for an important engagement and promises to return to grant her wish later."
"The Swan Princess: Escape from Castle Mountain",1997,"Michelle Nicastro Douglas Sills Jake Williamson Doug Stone Steve Vinovich","Richard Rich","United States","English","It has been one year since the events of The Swan Princess, but Derek and Odette's anniversary is interrupted by the vandalism of Knuckles, minion of the evil sorcerer Clavius. Clavius was the partner friend of Rothbart, villain of the previous film; they conquered the Forbidden Arts together until Rothbart drove Clavius underground after betraying their partnership. Clavius now wants to claim the magical orb of the Forbidden Arts that is located somewhere in Swan Lake castle, which has become Derek and Odette's new home. Clavius has Knuckles perform acts of vandalism in the kingdom that keep Derek busy and make him neglect both Odette and Uberta."
"That Darn Cat!",1997,"Christina Ricci Doug E. Doug George Dzundza Peter Boyle Michael Mc Kean Bess Armstrong","Bob Spiers","United States","English","A pair of bumbling kidnappers break into the house of the president with the intention of kidnapping his wife and holding her for ransom. Things don't go according to plan when they mistakenly kidnap house maid Lizzie instead."
"Turbo: A Power Rangers Movie",1997,"Johnny Yong Bosch Nakia Burrise Steve Cardenas Jason David Frank Austin St. John Catherine Sutherland Jason Narvy Paul Schrier Hilary Shepard Amy Jo Johnson Blake Foster","David Winning Shuki Levy","United States","English","On a distant planet, a wizard named Lerigot is being hunted by Divatox; an intergalactic space pirate, who seeks his golden key in order to traverse an inter-dimensional gateway and enter into matrimony with Maligore, a demon who promises to grant her great riches and power. Lerigot escapes Divatox's forces and travels to Earth in search of Zordon and his friend Alpha 5, but lands in Africa instead. Weakened by the sun's ultraviolet rays, Lerigot meets a pack of common chimpanzees and wanders off with them. Meanwhile, Divatox sets off for Earth in pursuit."
"Under Wraps",1997,"Bill Fagerbakke Adam Wylie Mario Yedidia Clara Bryant","Greg Beeman"," of origin United States",NA,"Three 12-year-old kids discover a mummy in the basement of a ""dead"" man's house. It comes alive due to the conjunction of the moonlight during that time of the month. They are scared of him at first, but with time discover he is friendly, if clumsy and confused. The kids name the mummy Harold, and decide he will temporarily take up residence in one kid's bedroom. After paying a visit to their Halloween-obsessed friend, Bruce, they discover that if the mummy is not put back in his coffin before midnight on Halloween, the mummy will cease to exist."
"Warriors of Virtue",1997,"Angus Macfadyen Mario Yedidia Marley Shelton","Ronny Yu","United States China",NA,"Ryan Jeffers suffers a disability to his leg preventing him from trying out for sports and fitting in with other kids at school. He is currently the waterboy of his school's football team and has a crush on quarterback Brad's girlfriend. He often seeks escape through comic books and dreams of adventure, hiding the depression of his disability from his mother Kathryn."
"The Wiggles Movie",1997,"Greg Page Anthony Field Murray Cook Jeff Fatt","Dean Covell","Australia","English","Wally the Great (Tony Harvey), great-grandson of Waldo the Magnificent, is an amateur magician whose dream is to win the competition at the Magic Club for Best Magician. He is confronted with a rival, Roland the Remarkable (Dale Burrdge), who believes Wally is a nobody. Meanwhile, children's entertainers The Wiggles, consisting of lead singer Greg Page, guitarist Murray Cook, drummer Anthony Field and keyboardist Jeff Fatt, are performing at a nearby school for Dorothy the Dinosaur's Birthday. Mrs. Bingle (Joanne Samuel), the principal, had an accident with Anthony after she blew a whistle while attempting to wake up Jeff, causing him to act extremely silly. Wally, watching from behind a wall, sees Dorothy herself laying Greg's (who is a magician) wand on a table while sulking that everyone has forgotten her birthday but really they were trying to keep the surprise party for her a secret. Wally quickly snatches it but is caught by Dorothy. The two have a tug of war and the wand breaks in half. Meanwhile, the Wiggles decide to go out looking for Dorothy in their Big Red Car."
"Zeus and Roxanne",1997,"Steve Guttenberg Kathleen Quinlan Miko Hughes","George T. Miller","United States","English","One morning, a dog named Zeus goes to the pier, spots a dolphin, and becomes fascinated by its movements. Afterwards, he returns home to his owner, Terry Barnett, an aspiring musician, and his son, Jordan, who appears to be taking care of him. Later that morning, Zeus chases a cat and subsequently destroys the outdoor garden of Mary Beth Dunhill, a marine biologist and the Barnetts' next-door neighbor. Terry calms Zeus down and apologizes to Mary Beth, although she is agitated by him."
"3 Ninjas: High Noon at Mega Mountain",1998,"Hulk Hogan Loni Anderson Victor Wong Mathew Botuchis Michael J. O'Laskey IIJames Paul Roeske ll Jim Varney","Sean Mc Namara","United States","English","During their summer vacation with their grandfather Mori, Rocky, Colt and Tum-Tum take a test on an obstacle course in pitch blackness. They passed the test. Later that night, he overhears Rocky and Colt planning on not returning the next year, due to getting older and he becomes depressed at this."
"Air Bud: Golden Receiver",1998,"Kevin Zegers Gregory Harrison Cynthia Stevenson Nora Dunn Perry Anzilotti Robert Costanzo","Richard Martin","United States Canada","English","The next year after Buddy's former owner, Norm Snivley, was sent to prison and becoming Buddy's legal owner, Josh Framm (Kevin Zegers), now a teenager and a basketball player, becomes angry with his mother, Jackie, when she begins dating Patrick Sullivan, the town's new veterinarian, after a couple of failed dates with other people. It all starts when Sullivan innocently tosses Josh's basketball-savvy dog, Buddy, a football one day, and Josh discovers that Buddy also has an uncanny ability to play the sport of football. Soon enough, Buddy begins playing on Josh's Junior High football team after Tommy convinces Josh to sign up for football instead of basketball. At first, the team is failing miserably. But thanks to Buddy's superior football skills and fast running, the team keeps on winning and makes the playoffs. In addition, they advance to the championship."
"An All Dogs Christmas Carol/All Dogs Go to Heaven 3",1998,"Steven Weber Dom De Luise Ernest Borgnine Sheena Easton Charles Nelson Reilly Bebe Neuwirth","Paul Sabella Gary Selvaggio (co-director)","United States","English","The film opens with angel puppies talking to Annabelle (Bebe Neuwirth). They ask her to tell them a story. She begins to tell them about how Carface saved Christmas with a little guidance from Charlie (Steven Weber) and Itchy (Dom De Luise)."
"An American Tail:
The Treasure of Manhattan Island",1998,"Thomas Dekker Lacey Chabert Elaine Bilstad Pat Musick Dom De Luise René Auberjonois David Carradine John Kassir Sherman Howard Tony Jay Nehemiah Persoff Erica Yohn Richard Karron Ron Perlman","Larry Latham","United States[1]","English","The story begins in New York City setting sometime after the second movie in the year 1910, as Fievel and Tony discover that an ancient treasure lies underneath Manhattan when snooping around an abandoned subway (the Beach Pneumatic Transit system) and stumbling upon the remains of a dead mouse clutching a treasure map, deciding they must find it with the help of an archaeologist Tony knows: Dr. Dithering, along with fighting five villains as well."
"Antz",1998,"Woody Allen Dan Aykroyd Anne Bancroft Jane Curtin Danny Glover Gene Hackman Jennifer Lopez John Mahoney Paul Mazursky Grant Shaud Sylvester Stallone Sharon Stone Christopher Walken","Eric Darnell Tim Johnson","United States","English","In a Central Park ant colony, Z-4195, or ""Z"" for short, is a neurotic and pessimistic worker ant who longs to express himself. His friends include fellow worker Azteca and a soldier ant, Weaver. Princess Bala visits a bar to escape her suffocating royal life, and Z falls in love with her there. To see Bala again, Z exchanges places with Weaver and joins the army, where he befriends Barbatus, a staff sergeant. Z is unaware the army's leader and Bala's fiancé General Mandible is secretly sending the soldiers loyal to the Queen Ant to die so he can build a powerful and influential ant colony."
"Babe: Pig in the City",1998,"Magda Szubanski James Cromwell Mickey Rooney","George Miller","Australia United States","English","Months after the events of the first film, Babe and his master Arthur Hoggett are given a welcome home parade after Babe's success as a ""sheepdog"". One day, Babe inadvertently causes an accident and Arthur ends up in a hospital. Esme is unsuccessful tending the farm by herself. Soon, two men from the bank arrive to inform Esme that she and Arthur have not paid their rent on time, and they will soon be evicted at the end of the month. Esme locates a letter from a fan saying that if she enters Babe in a sheepdog herding contest, held at a fair far away, she will win a large amount of money. She decides to enter Babe and they leave the farm together."
"Baby Huey's Great Easter Adventure",1999,"Maureen Mc Cormick Joseph Bologna Harvey Korman David Lander Denny Dillon Rachel Snow Michael Angarano David Leisure Stephen Furst (voice)","Stephen Furst","United States","English",NA
"Barney's Great Adventure",1998,"George Hearn Shirley Douglas Trevor Morgan Kyla Pratt Diana Rice Jeff Ayers Jeff Brooks Julie Johnson David Joyner Bob West Patty Wirtz","Steve Gomer","United States Canada (Filming locations)","English French","Cody (Trevor Morgan), his sister Abby (Diana Rice), their best friend Marcella (Kyla Pratt), and their baby brother Fig are dropped off by their parents for a visit at their grandparents' farm. As Cody is believing that there may be nothing to do at the farm, Abby and Marcella rub a Barney doll in his face. Cody loses his patience and starts a game of ""keep-away"" by taking the Barney doll and running off with it. The two girls go after Cody, who hides the Barney doll in the shower in the bathroom. The girls catch up with Cody, who tells them to use their imagination and laughs when he thinks that nothing happened. However, the doll comes to life as Barney the Dinosaur takes the girls to play in the barn. Cody refuses to believe in Barney at first, claiming that imagination is just for kids and that real dinosaurs neither talk, nor laugh."
"Belle's Magical World",1998,"David Ogden Stiers Robby Benson Gregory Grudt Paige O'Hara Anne Rogers Jerry Orbach","Cullen Blaine Daniel de la Vega Barbara Dourmashkin Dale Kase Bob Kline Burt Medall Mitch Rochon","United States","English","Beast (Robby Benson) and Belle (Paige O'Hara) plan to eat together, and Beast asks for advice from Lumiere (Jerry Orbach). While Cogsworth (David Ogden Stiers) escorts Belle to the dining room, they come across the castle's well-meaning but rather verbose scribe, Webster (Jim Cummings), turned into a dictionary, whom Belle invites to join them in the dining room (to Cogsworth's dismay)."
"Billboard Dad",1998,"Mary-Kate and Ashley Olsen","Alan Metter","United States","English","Set in Los Angeles, California this film revolves around Emily Tyler (Ashley Olsen), a surfer-girl, and her identical twin sister, Tess (Mary-Kate Olsen), a member of a high-diving team. The movie follows the two sisters as they try various stratagems to get their widower father, Max (who is a talented artist and sculptor) a girlfriend. After their first attempts end in failure, Tess and Emily team up with their friend Cody to paint an advertisement on a giant billboard situated high above Sunset Boulevard. Many women answer the advertisement through letters and through random chance, Max answers a letter submitted by a woman named Debbie. Debbie brings along her friend Brooke as a back-up in preparation for the former's date with Max. Brooke and Max coincidentally meet and take a liking to each other and Debbie agrees they should start dating. At first, Tess and Emily don't like Brooke's son, Ryan, but when an elaborate scheme by Max's business manager, Nigel, to break up the romantic relationship between Max and Brooke arises, Ryan and the girls learn to put aside their differences in order to foil the break-up plan.[1]"
"The Brave Little Toaster Goes to Mars",1998,"Deanna Oliver Thurl Ravenscroft Roger Kabler Timothy Stack Eric Lloyd Russi Taylor Chris Young Jessica Tuck Pat Carroll Farrah Fawcett De Forest Kelley Alan King Marc Allen Lewis Patti Edwards Wayne Knight Kath Soucie","Robert C. Ramirez","United States","English","Now newly married and having moved to a new home, Rob, and Chris have an infant son named Robbie. At first the appliances all fear that their masters will pay more attention to him but later grow accustomed to him. One night, Toaster awakes to find the hearing aid in the attic receiving a message which appears to be transmitted from space. The next morning, Toaster informs the other appliances and Ratso, the family's pet rat, of the events occurring the previous night, leading to the appliances and Ratso agreeing to carefully watch the junk drawer in case of Hearing Aid suspiciously escaping again. The following night, Hearing Aid escapes from the drawer and to the attic once more. Robbie, awakened by the sound of the transmission, climbs out of his crib and follows Hearing Aid. The appliances awaken, find Robbie going up the stairs and pursue him, leading them to enter the attic just as a beam of light appears. The shocked appliances pursue Hearing Aid, but in spite of this, Robbie is beamed into space. After grilling Hearing Aid and learning that Robbie has accidentally been transported to Mars in his place, the appliances contact Wittgenstein, an old supercomputer and friend from their days in college, for advice. The appliances, as per a plan by Wittgenstein, create a makeshift spacecraft with the ceiling fan and the microwave and, with microwaveable popcorn as fuel, launch themselves into space, leaving only Ratso to prevent the baby monitor from alerting Rob and Chris. During their flight through space, the appliances meet a pack of sentient balloons who have been let go by human hands and now float endlessly through the cosmos."
"A Bug's Life",1998,"Dave Foley Kevin Spacey Julia Louis-Dreyfus","John Lasseter","United States","English","Ant Island is a colony of ants led by the Queen and her daughter, Princess Atta. Every season, they are forced to give food to a gang of marauding grasshoppers led by Hopper. One day, when Flik, an individualist and would-be inventor, inadvertently knocks the offering into a stream with his latest invention, a grain harvesting device, Hopper demands twice as much food as compensation. When Flik suggests in earnest that they seek help from other stronger bugs, the other ants see it as an opportunity to remove him and send him off."
"Casper Meets Wendy",1998,"Cathy Moriarty-Gentile Shelley Duvall Teri Garr George Hamilton Hilary Duff Richard Moll Vincent Schiavelli Blake Foster Voices:Jeremy Foley Bill Farmer Jim Ward Jess Harnell","Sean Mc Namara","United States","English","A mysterious ""spaceship"" floats over a baseball game, eventually revealing Fatso, Stinky and Stretch, The Ghostly Trio, who cause panic in the ballpark. Their nephew Casper, a shy, friendly ghost attempts to settle the agitated crowd, but the people are scared of him as well. The park empties, and Casper's uncles plan a vacation."
"Dennis the Menace Strikes Again",1998,"Justin Cooper Don Rickles George Kennedy Betty White Brian Doyle-Murray Carrot Top Dwier Brown Heidi Swedberg","Charles T. Kanganis","United States","English","Some years after the previous film, Dennis Mitchell (Justin Cooper) is worse than ever. At the beginning of the film, he goes over to the house of George Wilson (Don Rickles) to offer him some pets as gifts for his birthday. These include frogs, lizards, snakes, insects, tarantulas, scorpions, mice, exotic mammals, and even a baby alligator. This ordeal ends with George unintentionally riding down a flight of stairs in Dennis' red wagon and accidentally getting his birthday cake thrown in his face by Martha (Betty White). Soon after this incident, Mr. Johnson, Dennis' grandfather and Alice's father and Henry's father-in law (George Kennedy), shows up and announces that he is moving in with the Mitchells. Dennis starts spending more time with him than his annoyed neighbor. George, upset that he's getting older, gets tricked by two crooked con men, the Professor and his assistant Sylvester (Brian Doyle-Murray and Carrot Top), who try to talk him into buying a ""rare"" root used to make tea to make people younger."
"FernGully 2: The Magical Rescue",1998,"Laura Erlich Harry Joseph Gary Martin Matt K. Miller Digory Oaks Westin Peace","Phil Robinson Co-Director:Dave Marshall","United States","English","Crysta is taking care of three baby animals and demonstrating greater control over nature. She and Pips begin a small contest over who can grow the more impressive plant, while Pips expresses a desire to see more of the outside world."
"The First Snow of Winter",1998,"Miriam Margolyes Ashley Johnson (US)Dermot Morgan Tim Curry (US)Kate Sachs Sorcha Cusack Carol Kane (US)Neil Mc Caul","Graham Ralph"," of origin United Kingdom United States",NA,"The story takes place in Ireland. Winter is approaching and ducks are starting their migration south. A young and daring white duck named Sean Mc Duck decides to slide down a hill and cross over to the other side of a stream, despite warnings from his young puffin friend, Puffy. When Sean reaches the other side, Puffy tells him about an approaching red fox, which Sean narrowly escapes. When Sean and his family migrate, he gets lost trying to chase some seagulls. Later he is hit by an airplane resulting in his being stranded with a broken wing. His family thinks he has been killed by the fox when Sean's mother sees her with her kits playing with white feathers. A kindly water vole named Voley is preparing for his winter hibernation but stops to help Sean get ready for the cold weather ahead. Voley also teaches Sean to play a blade of grass as a musical instrument and even does an Irish stepdance with Sean. After struggling through the first day of winter and having to take shelter in a boot, Sean discovers that Puffy was also left behind."
"Halloweentown",1998,"Debbie Reynolds Judith Hoag Kimberly J. Brown Joey Zimmerman Emily Roeske","Duwayne Dunham"," of origin United States",NA,"The film begins with 13-year-old Marnie Piper (Kimberly J. Brown) and her mother, Gwen (Judith Hoag), arguing over why she and her younger siblings 12-year-old Dylan (Joey Zimmerman) and 7-year-old Sophie (Emily Roeske) can never go out for Halloween, and why Marnie cannot go to a costume party. Her mom offers no clear explanation. Gwen's mother Aggie (Debbie Reynolds), who is an expert witch, shows up for her annual Halloween visit. The children are happier to see Aggie than Gwen is, as Aggie openly encourages the children to get more involved in Halloween."
"

Hercules and Xena –
The Animated Movie:
The Battle for Mount Olympus

",1998,"Kevin Sorbo Lucy Lawless Michael Hurst Renee O'Connor Kevin Smith Alexandra Tydings David Mackie","Lynne Naylor","United States","English","Long after Zeus stole the Cronus Stone from the monsters called the Titans whom he also imprisoned in Tartarus, he and Alcmene gave birth to a son named Hercules, who defeated two serpents (sent by a jealous Hera) at a young age and became a hero. After Hercules battles a sea serpent, the villagers thank him, and Iolaus climbs out of a restchair and joins him. Hercules and Iolaus head to Thebes to see Alcmene but Iolaus is a little upset because Hercules takes the credit. Meanwhile, Xena and Gabrielle reclaim the gold stolen by satyrs from a group of travelers in Corinth. Ares tells Xena to stop Hercules from going to Thebes because there is a trap set for him there, but Xena doesn't believe him and leaves with Gabrielle."
"Hercules: Zero to Hero",1999,"Tate Donovan James Woods Sandra Bernhard Matt Frewer Robert Stack French Stewart Barbara Barrie Jodi Benson Corey Burton Robert Costanzo Roz Ryan Keith David Paddi Edwards Susan Egan Samantha Eggar Kathie Lee Gifford","Bob Kline Tad Stones Phil Wenstein","United States","English","The film briefly gives Hercules' history after defeating Hades for good, in which he marries Meg and revisits his teenage years. In particular, it shows an adolescent Hercules's enrollment and the beginning of his adventures at the Prometheus Academy, a school for gods and mortals, which Hercules supposedly attended during the time when he was training to be a hero with his mentor, the satyr Philoctetes."
